feature,mean_ic,abs_mean_ic,ic_positive_rate,top_decile_excess,top_minus_bottom,hit_rate,worst_window,missing_rate,direction,valid_dates,rank_ic_stability_raw,recent_rank_ic_raw,recent_top_decile_excess_raw,single_factor_score,profile
industry_ret_20d,-0.03333408481254531,0.03333408481254531,0.5583333333333333,0.0021482964968179406,0.006304048662930733,0.575,-0.050671953605822176,0.00028390113560454244,-1,120,0.018611530687004465,0.018611530687004465,0.0021482964968179406,0.569586994501824,general
low_liquidity_flag,0.03196522466526067,0.03196522466526067,0.5833333333333334,0.0008055104008537372,,0.55,-0.048527175599038797,0.0,1,120,0.018646381054735393,0.018646381054735393,0.0008055104008537372,0.556474358974359,general
intraday_return,-0.021671876720974315,0.021671876720974315,0.5333333333333333,0.0016331510103711967,0.0030947605712739125,0.5083333333333333,-0.03668520898802228,0.0014529058116232465,-1,120,0.011558334251186301,0.011558334251186301,0.0016331510103711967,0.556136760700889,general
eps,0.025492511525156806,0.025492511525156806,0.6083333333333333,0.0001644683923421076,0.0002036756826481058,0.5666666666666667,-0.036345202099601195,0.002004008016032064,1,120,0.015507944511137055,0.015507944511137055,0.0001644683923421076,0.5558252402240378,general
amount_z_20d,-0.030972636657884956,0.030972636657884956,0.5583333333333333,-0.0001493378510441482,0.0019400186479411386,0.525,-0.036894761902878145,0.004241816967267869,-1,120,0.0172930554673191,0.0172930554673191,-0.0001493378510441482,0.5557296644571195,general
roe_ttm_rank,0.027017497000050707,0.027017497000050707,0.6,-0.00010012769289029834,-0.0001993008583313261,0.49166666666666664,-0.03405522063052406,0.0036907147628590514,1,120,0.016210498200030423,0.016210498200030423,-0.00010012769289029834,0.5523232362160218,general
roe_ttm_zscore,0.027017497000050707,0.027017497000050707,0.6,-0.00010012769289029834,-0.0001993008583313261,0.49166666666666664,-0.03405522063052406,0.0036907147628590514,1,120,0.016210498200030423,0.016210498200030423,-0.00010012769289029834,0.5523232362160218,general
roe_ttm,0.027017497000050707,0.027017497000050707,0.6,-0.00010012769289029834,-0.0001993008583313261,0.49166666666666664,-0.03405522063052406,0.0036907147628590514,1,120,0.016210498200030423,0.016210498200030423,-0.00010012769289029834,0.5523232362160218,general
log_float_market_cap,-0.029873140291548486,0.029873140291548486,0.575,-0.0004044794108230784,-0.002898792927408923,0.5166666666666667,-0.03724646019924721,0.0,-1,120,0.017177055667640377,0.017177055667640377,-0.0004044794108230784,0.549551282051282,general
float_market_cap,-0.029873140291548486,0.029873140291548486,0.575,-0.0004044794108230784,-0.002898792927408923,0.5166666666666667,-0.03724646019924721,0.0,-1,120,0.017177055667640377,0.017177055667640377,-0.0004044794108230784,0.549551282051282,general
float_market_cap_rank,-0.029873140291548486,0.029873140291548486,0.575,-0.0004044794108230784,-0.002898792927408923,0.5166666666666667,-0.03724646019924721,0.0,-1,120,0.017177055667640377,0.017177055667640377,-0.0004044794108230784,0.549551282051282,general
float_market_cap_zscore,-0.029873140291548486,0.029873140291548486,0.575,-0.0004044794108230784,-0.002898792927408923,0.5166666666666667,-0.03724646019924721,0.0,-1,120,0.017177055667640377,0.017177055667640377,-0.0004044794108230784,0.549551282051282,general
ret_20d_industry_rank,-0.022781831192948507,0.022781831192948507,0.6416666666666667,7.613925218099398e-05,,0.5583333333333333,-0.034542142012679175,0.0026720106880427524,-1,120,0.01461834168214196,0.01461834168214196,7.613925218099398e-05,0.5462071579055547,general
excess_ret_20d_industry_rank,-0.022781831192948507,0.022781831192948507,0.6416666666666667,7.613925218099398e-05,,0.5583333333333333,-0.034542142012679175,0.0026720106880427524,-1,120,0.01461834168214196,0.01461834168214196,7.613925218099398e-05,0.5462071579055547,general
log_total_market_cap,-0.02852726487967002,0.02852726487967002,0.575,-5.213261533659709e-05,-0.002500566518598408,0.48333333333333334,-0.040416326304732034,0.0,-1,120,0.01640317730581026,0.01640317730581026,-5.213261533659709e-05,0.5442948717948718,general
total_market_cap_rank,-0.02852726487967002,0.02852726487967002,0.575,-5.213261533659709e-05,-0.002500566518598408,0.48333333333333334,-0.040416326304732034,0.0,-1,120,0.01640317730581026,0.01640317730581026,-5.213261533659709e-05,0.5442948717948718,general
total_market_cap_zscore,-0.02852726487967002,0.02852726487967002,0.575,-5.213261533659709e-05,-0.002500566518598408,0.48333333333333334,-0.040416326304732034,0.0,-1,120,0.01640317730581026,0.01640317730581026,-5.213261533659709e-05,0.5442948717948718,general
total_market_cap,-0.02852726487967002,0.02852726487967002,0.575,-5.213261533659709e-05,-0.002500566518598408,0.48333333333333334,-0.040416326304732034,0.0,-1,120,0.01640317730581026,0.01640317730581026,-5.213261533659709e-05,0.5442948717948718,general
