feature,mean_ic,abs_mean_ic,ic_positive_rate,top_decile_excess,top_minus_bottom,hit_rate,worst_window,missing_rate,direction,valid_dates,rank_ic_stability_raw,recent_rank_ic_raw,recent_top_decile_excess_raw,single_factor_score,profile,group,is_candidate,group_score,combined_score
amount_z_20d,-0.030972636657884956,0.030972636657884956,0.5583333333333333,-0.0001493378510441482,0.0019400186479411386,0.525,-0.036894761902878145,0.004241816967267869,-1,120,0.0172930554673191,0.0172930554673191,-0.0001493378510441482,0.5557296644571195,general,baseline_technical,True,0.5909090909090909,0.5645245210701123
excess_ret_5d,-0.02859000623170871,0.02859000623170871,0.5333333333333333,0.0005691619482902893,0.0009724639499867697,0.48333333333333334,-0.041008351606675694,0.002154308617234469,-1,120,0.015248003323577978,0.015248003323577978,0.0005691619482902893,0.5440153383690457,general,csi500_relative,True,0.5909090909090909,0.555738776504057
excess_ret_5d_rank,-0.02859000623170871,0.02859000623170871,0.5333333333333333,0.0005691619482902893,0.0009724639499867697,0.48333333333333334,-0.041008351606675694,0.002154308617234469,-1,120,0.015248003323577978,0.015248003323577978,0.0005691619482902893,0.5440153383690457,general,csi500_relative,True,0.5909090909090909,0.555738776504057
vol_20d_rank,-0.04673415964356475,0.04673415964356475,0.6166666666666667,-0.0015455637317536334,-0.0018462689549655538,0.5083333333333333,-0.06117232573537994,0.004342017368069473,-1,120,0.02881939844686493,0.02881939844686493,-0.0015455637317536334,0.5359119521093468,general,cross_sectional,True,0.5909090909090909,0.5496612368092828
relative_vol_20d,-0.04673415964356475,0.04673415964356475,0.6166666666666667,-0.0015455637317536334,-0.0018462689549655538,0.5083333333333333,-0.06117232573537994,0.004342017368069473,-1,120,0.02881939844686493,0.02881939844686493,-0.0015455637317536334,0.5359119521093468,general,csi500_relative,True,0.5909090909090909,0.5496612368092828
vol_20d,-0.04673415964356475,0.04673415964356475,0.6166666666666667,-0.0015455637317536334,-0.0018462689549655538,0.5083333333333333,-0.06117232573537994,0.004342017368069473,-1,120,0.02881939844686493,0.02881939844686493,-0.0015455637317536334,0.5359119521093468,general,baseline_technical,True,0.5909090909090909,0.5496612368092828
vol_20d_zscore,-0.04673415964356475,0.04673415964356475,0.6166666666666667,-0.0015455637317536334,-0.0018462689549655538,0.5083333333333333,-0.06117232573537994,0.004342017368069473,-1,120,0.02881939844686493,0.02881939844686493,-0.0015455637317536334,0.5359119521093468,general,cross_sectional,True,0.5909090909090909,0.5496612368092828
excess_ret_3d,-0.022026107239400176,0.022026107239400176,0.525,0.0004385365067704691,0.0007596868758932596,0.5,-0.03750609597631512,0.001920507682030728,-1,120,0.011563706300685093,0.011563706300685093,0.0004385365067704691,0.5354489748728226,general,csi500_relative,True,0.5909090909090909,0.5493140038818897
excess_ret_3d_rank,-0.022026107239400176,0.022026107239400176,0.525,0.0004385365067704691,0.0007596868758932596,0.5,-0.03750609597631512,0.001920507682030728,-1,120,0.011563706300685093,0.011563706300685093,0.0004385365067704691,0.5354489748728226,general,csi500_relative,True,0.5909090909090909,0.5493140038818897
high_low_range_20d,-0.04566977796010798,0.04566977796010798,0.5666666666666667,-0.0018003272623724016,-0.0044592791481383315,0.475,-0.05860807704816748,0.004241816967267869,-1,120,0.02587954084406119,0.02587954084406119,-0.0018003272623724016,0.5284219721494271,general,liquidity_risk,True,0.5909090909090909,0.5440437518393431
atr_14d,-0.04391255124431826,0.04391255124431826,0.5583333333333333,-0.001762289146149368,-0.004247619141133196,0.475,-0.0600023615922044,0.0035237140948563795,-1,120,0.024517841111411028,0.024517841111411028,-0.001762289146149368,0.5270835260264117,general,liquidity_risk,True,0.5909090909090909,0.5430399172470816
volume_z_20d,-0.02625892161206954,0.02625892161206954,0.5666666666666667,-0.00028098420353764216,0.0017862387068705511,0.525,-0.04113992787571932,0.004241816967267869,-1,120,0.014880055580172738,0.014880055580172738,-0.00028098420353764216,0.5239347926622476,general,baseline_technical,True,0.5909090909090909,0.5406783672239585
excess_ret_1d,-0.013990850874528948,0.013990850874528948,0.49166666666666664,0.0011989930799862242,0.001484588221346544,0.525,-0.03885600408760024,0.0016199064796259186,-1,120,0.0068788350133100655,0.0068788350133100655,0.0011989930799862242,0.5223380093520374,general,csi500_relative,True,0.5909090909090909,0.5394807797413008
idiosyncratic_vol_60d,-0.03642339060689827,0.03642339060689827,0.55,-0.0016003914080746152,-0.006165483919630853,0.49166666666666664,-0.05832852327870142,0.015480961923847696,-1,120,0.02003286483379405,0.02003286483379405,-0.0016003914080746152,0.5170416473973588,general,csi500_relative,True,0.5909090909090909,0.5355085082752918
residual_ret_1d,-0.011370697354103813,0.011370697354103813,0.5,0.000998338856746892,0.001815504611140548,0.48333333333333334,-0.04000366392628944,0.008800935203740815,-1,120,0.0056853486770519065,0.0056853486770519065,0.000998338856746892,0.5114275987873182,general,csi500_relative,True,0.5909090909090909,0.5312979718177614
max_drawdown_20d,-0.0014076732542117405,0.0014076732542117405,0.5,0.003029981137955448,0.00631210437884065,0.575,-0.04007828601505515,0.004241816967267869,-1,120,0.0007038366271058703,0.0007038366271058703,0.003029981137955448,0.49829376702122186,general,liquidity_risk,True,0.5909090909090909,0.5214475979931891
excess_ret_2d,-0.01514246896895822,0.01514246896895822,0.525,6.97652895021033e-05,-0.0001274935968137901,0.525,-0.05425646738530562,0.0017869071476285905,-1,120,0.007949796208703066,0.007949796208703066,6.97652895021033e-05,0.4906546426185705,general,csi500_relative,True,0.5909090909090909,0.5157182546912006
ret_120d,-0.017447301865644835,0.017447301865644835,0.49166666666666664,-0.0029349636998677485,-0.005653872555458262,0.475,-0.045304017617790224,0.004108216432865732,-1,120,0.00857825675060871,0.00857825675060871,-0.0029349636998677485,0.47381994758748264,general,baseline_technical,True,0.5909090909090909,0.5030922334178847
boll_z_20d,-0.033038429581039405,0.033038429581039405,0.6166666666666667,-0.0008031220032292172,-0.0004943118819216584,0.525,-0.052944050072871306,0.004241816967267869,-1,120,0.020373698241640967,0.020373698241640967,-0.0008031220032292172,0.5316912029186579,general,short_bollinger,True,0.36363636363636365,0.4896774930980844
boll_position_20d,-0.033038429581039405,0.033038429581039405,0.6166666666666667,-0.0008031220032292172,-0.0004943118819216584,0.525,-0.052944050072871306,0.004241816967267869,-1,120,0.020373698241640967,0.020373698241640967,-0.0008031220032292172,0.5316912029186579,general,short_bollinger,True,0.36363636363636365,0.4896774930980844
beta_to_csi500_60d,-0.01368688738137605,0.01368688738137605,0.5583333333333333,-0.003534897229045253,-0.007523913748869346,0.5,-0.06044980185019583,0.008800935203740815,-1,120,0.0076418454546016285,0.0076418454546016285,-0.003534897229045253,0.4551455475052669,general,csi500_relative,True,0.5909090909090909,0.4890864333562229
intraday_return,-0.021671876720974315,0.021671876720974315,0.5333333333333333,0.0016331510103711967,0.0030947605712739125,0.5083333333333333,-0.03668520898802228,0.0014529058116232465,-1,120,0.011558334251186301,0.011558334251186301,0.0016331510103711967,0.556136760700889,general,short_volume_price,True,0.2727272727272727,0.48528438870748497
deducted_net_profit,0.04928979112272074,0.04928979112272074,0.6083333333333333,0.0011966384270345194,0.001958498356560514,0.5416666666666666,-0.05724282197792666,0.0,1,120,0.02998462293298845,0.02998462293298845,0.0011966384270345194,0.5753846153846154,general,quality,True,0.18181818181818182,0.476993006993007
boll_width_20d,-0.028932818252510283,0.028932818252510283,0.5916666666666667,-0.0015888611197387556,-0.0029318821138429444,0.5083333333333333,-0.05840047952230481,0.004241816967267869,-1,120,0.01711858413273525,0.01711858413273525,-0.0015888611197387556,0.5098322285596835,general,short_bollinger,True,0.36363636363636365,0.47328326232885354
amount_z_5d,-0.014981701797973515,0.014981701797973515,0.575,0.0005125114431214734,0.0016141106132035192,0.525,-0.029688865396073683,0.0021209084836339345,-1,120,0.00861447853383477,0.00861447853383477,0.0005125114431214734,0.5396597040234314,general,short_volume_price,True,0.2727272727272727,0.47292659619939176
volume_z_5d,-0.013476718020755236,0.013476718020755236,0.525,0.0009171488485232734,0.0019628555974853983,0.5416666666666666,-0.03311309794666564,0.0021209084836339345,-1,120,0.0070752769608965,0.0070752769608965,0.0009171488485232734,0.5345314988952263,general,short_volume_price,True,0.2727272727272727,0.4690804423532379
pe_ttm,-0.038797095358851834,0.038797095358851834,0.625,0.00141102512658674,0.0011225999827484544,0.5,-0.03848079223776425,0.0,-1,120,0.024248184599282397,0.024248184599282397,0.00141102512658674,0.5917948717948718,general,valuation,True,0.09090909090909091,0.46657342657342654
pe_ttm_rank,-0.038797095358851834,0.038797095358851834,0.625,0.00141102512658674,0.0011225999827484544,0.5,-0.03848079223776425,0.0,-1,120,0.024248184599282397,0.024248184599282397,0.00141102512658674,0.5917948717948718,general,valuation,True,0.09090909090909091,0.46657342657342654
pe_ttm_zscore,-0.038797095358851834,0.038797095358851834,0.625,0.00141102512658674,0.0011225999827484544,0.5,-0.03848079223776425,0.0,-1,120,0.024248184599282397,0.024248184599282397,0.00141102512658674,0.5917948717948718,general,valuation,True,0.09090909090909091,0.46657342657342654
eps,0.025492511525156806,0.025492511525156806,0.6083333333333333,0.0001644683923421076,0.0002036756826481058,0.5666666666666667,-0.036345202099601195,0.002004008016032064,1,120,0.015507944511137055,0.015507944511137055,0.0001644683923421076,0.5558252402240378,general,quality,True,0.18181818181818182,0.4623234756225738
pe_static,-0.037152891722194686,0.037152891722194686,0.625,0.00014460055263759857,0.00041466987443027927,0.5083333333333333,-0.02629723638320704,0.0,-1,120,0.02322055732637168,0.02322055732637168,0.00014460055263759857,0.5851282051282052,general,valuation,True,0.09090909090909091,0.4615734265734266
roe_ttm_rank,0.027017497000050707,0.027017497000050707,0.6,-0.00010012769289029834,-0.0001993008583313261,0.49166666666666664,-0.03405522063052406,0.0036907147628590514,1,120,0.016210498200030423,0.016210498200030423,-0.00010012769289029834,0.5523232362160218,general,quality,True,0.18181818181818182,0.4596969726165618
