candidate,window_id,entry_date,start_date,end_date,trading_days,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,avg_top5_weight,n_with_notes,model0_weight,model1_weight,top_k,internal_max_weight,weighting,risk_filter_enabled,window_rank
stable_medium_capacity,w03,2026-02-06,2026-02-09,2026-02-13,5,0.036642390078504374,0.018802385786234943,0.01784000429226943,93,0.01075268817204301,0.05376344086021505,0,0.7725,0.22750000000000004,93,0.03,equal,True,3.0
balanced_extra_wide_capacity,w04,2026-02-13,2026-02-24,2026-03-02,5,0.06469149026865573,0.04322493233095415,0.02146655793770158,64,0.015625,0.078125,0,0.725,0.275,64,0.03,equal,False,8.0
balanced_medium_current,w04,2026-02-13,2026-02-24,2026-03-02,5,0.07672540370396036,0.04322493233095415,0.03350047137300621,49,0.020408163265306124,0.10204081632653061,1,0.0,1.0,49,0.03,equal,True,5.0
economic_medium_capacity,w04,2026-02-13,2026-02-24,2026-03-02,5,0.08675230724162722,0.04322493233095415,0.04352737491067307,30,0.036000000004219955,0.18000000002109978,0,0.998,0.0020000000000000018,30,0.036,rank,True,3.0
recent_compact_capacity,w04,2026-02-13,2026-02-24,2026-03-02,5,0.08374144232164953,0.04322493233095415,0.04051650999069538,31,0.032972380952380954,0.16486190476190477,1,0.055,0.945,31,0.030758,rank,True,4.0
recent_compact_current,w04,2026-02-13,2026-02-24,2026-03-02,5,0.09272258940468289,0.04322493233095415,0.049497657073728746,37,0.027027027027027035,0.13513513513513517,1,0.825,0.17500000000000004,37,0.03,equal,True,2.0
short_aggressive_compact_capacity,w04,2026-02-13,2026-02-24,2026-03-02,5,0.045944301605053216,0.04322493233095415,0.002719369274099069,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,10.0
short_aggressive_medium_capacity,w04,2026-02-13,2026-02-24,2026-03-02,5,0.045944301605053216,0.04322493233095415,0.002719369274099069,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,10.0
short_aggressive_wide_capacity,w04,2026-02-13,2026-02-24,2026-03-02,5,0.04129684656824045,0.04322493233095415,-0.0019280857627136938,30,0.036000000004219955,0.18000000002109978,0,0.5935,0.4065,30,0.036,rank,True,12.0
stable_compact_capacity,w04,2026-02-13,2026-02-24,2026-03-02,5,0.053762714459369365,0.04322493233095415,0.010537782128415218,33,0.030303030303030304,0.15151515151515152,0,0.978,0.02200000000000002,33,0.030303030303030304,equal,True,9.0
