strategy,anchor,mean_3w,worst_3w,hit_3w,mean_7w,worst_7w,hit_7w,mean_13w,worst_13w,hit_13w,legacy_raw_score_3713,raw_penalty,avg_holdings,min_holdings,max_holdings,alpha,requested_top_k,blend_source,is_grid,mean_3w_rank,worst_3w_rank,hit_3w_rank,rank_score_3w,legacy_rank_score_3w,mean_7w_rank,worst_7w_rank,hit_7w_rank,rank_score_7w,legacy_rank_score_7w,mean_13w_rank,worst_13w_rank,hit_13w_rank,rank_score_13w,legacy_rank_score_13w,anchor_score_3713,legacy_anchor_score_3713,anchor_rank,legacy_anchor_rank
final_portfolio_a0.65_k50,2026-04-30,0.0238332919685621,0.0158141770762097,1.0,0.0124568585873998,-0.004711258773215,0.5714285714285714,0.008314290347767,-0.0129072957371288,0.5384615384615384,0.0108268970163957,0.0,45.23076923076923,41,50,0.65,50,final_portfolio,True,0.8242424242424242,0.7606060606060606,0.503030303030303,0.7537878787878787,0.7711212121212121,0.8,0.9636363636363636,0.3878787878787879,0.7954545454545455,0.8127878787878788,0.8121212121212121,0.6727272727272727,0.7,0.7465151515151515,0.7549090909090909,0.7682727272727272,0.787439393939394,19,22
final_portfolio_a0.65_k50,2026-05-06,0.0300780635786585,0.0161807393167848,1.0,0.0140617194538838,-0.0186190314472625,0.5714285714285714,0.0110060402286564,-0.0200381276940244,0.5384615384615384,0.0105226021623604,0.0,44.69230769230769,40,50,0.65,50,final_portfolio,True,0.1212121212121212,0.3303030303030303,0.503030303030303,0.2516666666666666,0.2283939393939394,0.3212121212121212,0.7909090909090909,0.503030303030303,0.5128787878787878,0.4943939393939394,0.703030303030303,0.7303030303030303,0.8636363636363636,0.7366666666666667,0.7280909090909091,0.5016515151515152,0.4230484848484848,81,115
final_portfolio_a0.65_k50,2026-05-07,0.0258161160706565,0.0107324542605149,1.0,0.0118288477305846,-0.0275131039553788,0.5714285714285714,0.0058030188772789,-0.0275131039553788,0.4615384615384615,0.0061117950266086,0.0,45.0,38,50,0.65,50,final_portfolio,True,0.1212121212121212,0.0969696969696969,0.503030303030303,0.1699999999999999,0.1513939393939394,0.109090909090909,0.2151515151515151,0.4909090909090909,0.2034848484848485,0.1822727272727272,0.0545454545454545,0.2151515151515151,0.3090909090909091,0.1489393939393939,0.133,0.1770757575757575,0.162530303030303,150,149
final_portfolio_a0.65_k50,2026-05-08,0.0379258261976624,0.0142164417515116,1.0,0.0215096558984035,-0.0297707516093493,0.8571428571428571,0.0111785854523736,-0.0321958412282715,0.6153846153846154,0.0118600257016191,0.0,45.38461538461539,41,50,0.65,50,final_portfolio,True,0.7333333333333333,0.5727272727272728,0.503030303030303,0.6425757575757576,0.6573030303030303,0.793939393939394,0.2484848484848484,0.5333333333333333,0.563939393939394,0.5878787878787879,0.5636363636363636,0.1303030303030303,0.2909090909090909,0.371060606060606,0.3933636363636363,0.5296666666666666,0.5864712121212122,55,41
final_portfolio_a0.65_k53,2026-04-30,0.0235675026690345,0.0158141770762097,1.0,0.0123429488876022,-0.004711258773215,0.5714285714285714,0.008394700581106,-0.0129072957371288,0.5384615384615384,0.0107439542930558,0.0,45.61538461538461,41,53,0.65,53,final_portfolio,True,0.7515151515151515,0.7606060606060606,0.503030303030303,0.7174242424242423,0.7296666666666666,0.7515151515151515,0.9636363636363636,0.3878787878787879,0.7712121212121211,0.7851515151515152,0.8363636363636363,0.6727272727272727,0.7,0.7586363636363636,0.7687272727272726,0.7513030303030303,0.7604939393939394,29,33
final_portfolio_a0.65_k53,2026-05-06,0.029981862950446,0.0161807393167848,1.0,0.0139497300335855,-0.0186190314472625,0.5714285714285714,0.0109457382331112,-0.0200381276940244,0.5384615384615384,0.0104667873122023,0.0,45.0,40,53,0.65,53,final_portfolio,True,0.0969696969696969,0.3303030303030303,0.503030303030303,0.2395454545454545,0.2145757575757576,0.296969696969697,0.7909090909090909,0.503030303030303,0.5007575757575757,0.4805757575757575,0.6727272727272727,0.7303030303030303,0.8636363636363636,0.7215151515151516,0.7108181818181818,0.4886212121212121,0.4087121212121212,91,119
final_portfolio_a0.65_k53,2026-05-07,0.0265639671881461,0.0107324542605149,1.0,0.0121493553523659,-0.0275131039553788,0.5714285714285714,0.0059755999043919,-0.0275131039553788,0.4615384615384615,0.0063792709642013,0.0,45.23076923076923,38,53,0.65,53,final_portfolio,True,0.2121212121212121,0.0969696969696969,0.503030303030303,0.2154545454545454,0.2032121212121211,0.1636363636363636,0.2151515151515151,0.4909090909090909,0.2307575757575757,0.2133636363636364,0.103030303030303,0.2151515151515151,0.3090909090909091,0.1731818181818182,0.1606363636363636,0.2088939393939393,0.2013939393939394,147,144
final_portfolio_a0.65_k53,2026-05-08,0.0376458979507936,0.0142164417515116,1.0,0.0214736245666408,-0.0297707516093493,0.8571428571428571,0.0110655280232275,-0.0321958412282715,0.6153846153846154,0.0117772936145439,0.0,46.0,41,53,0.65,53,final_portfolio,True,0.6545454545454545,0.5727272727272728,0.503030303030303,0.6031818181818182,0.6123939393939394,0.7878787878787878,0.2484848484848484,0.5333333333333333,0.5609090909090909,0.5844242424242424,0.5272727272727272,0.1303030303030303,0.2909090909090909,0.3528787878787878,0.3726363636363636,0.5111818181818182,0.5638439393939394,68,51
final_portfolio_a0.65_k56,2026-04-30,0.0235675026690345,0.0158141770762097,1.0,0.0123429488876022,-0.004711258773215,0.5714285714285714,0.0083902000071338,-0.0129072957371288,0.5384615384615384,0.0107435694939812,0.0,45.76923076923077,41,55,0.65,56,final_portfolio,True,0.7515151515151515,0.7606060606060606,0.503030303030303,0.7174242424242423,0.7296666666666666,0.7515151515151515,0.9636363636363636,0.3878787878787879,0.7712121212121211,0.7851515151515152,0.8212121212121212,0.6727272727272727,0.7,0.751060606060606,0.7600909090909089,0.7490303030303029,0.7591984848484848,30,35
final_portfolio_a0.65_k56,2026-05-06,0.029981862950446,0.0161807393167848,1.0,0.0138774005043164,-0.0186190314472625,0.5714285714285714,0.0109067915635047,-0.0200381276940244,0.5384615384615384,0.0104449048476935,0.0,45.07692307692308,40,54,0.65,56,final_portfolio,True,0.0969696969696969,0.3303030303030303,0.503030303030303,0.2395454545454545,0.2145757575757576,0.2575757575757575,0.7909090909090909,0.503030303030303,0.481060606060606,0.4581212121212121,0.6636363636363637,0.7303030303030303,0.8636363636363636,0.7169696969696969,0.7056363636363636,0.4793787878787878,0.397830303030303,102,123
