strategy,mean_score_3713,std_score_3713,worst_score_3713,robust_score,legacy_mean_score_3713,legacy_std_score_3713,legacy_worst_score_3713,legacy_robust_score,avg_legacy_raw_score_3713,avg_mean_13w,worst_13w,avg_hit_13w,avg_mean_7w,worst_7w,avg_hit_7w,avg_mean_3w,worst_3w,avg_hit_3w,avg_holdings,min_holdings,max_holdings,alpha,requested_top_k,blend_source,is_grid,overall_rank,legacy_overall_rank
final_portfolio_a0.40_k56,0.5531174242424242,0.0773078933461686,0.4803636363636363,0.4718864455138679,0.5622655303030303,0.0566523249593117,0.4981621212121212,0.4843478925040688,0.0105675477822402,0.0085553972074179,-0.0285233404561434,0.5384615384615385,0.0151176524924136,-0.02638444789539,0.6785714285714285,0.030635915860081,0.0152210652438935,1.0,45.61538461538461,38,56,0.4,56,final_portfolio,True,30,31
final_portfolio_a0.40_k59,0.5507689393939393,0.0787364002679697,0.4803636363636363,0.4702170796701727,0.5600632575757576,0.0581602492313334,0.4981621212121212,0.4827656228041394,0.0105618122124215,0.0085451889722971,-0.0285233404561434,0.5384615384615385,0.0150986943414748,-0.02638444789539,0.6785714285714285,0.030635915860081,0.0152210652438935,1.0,45.67307692307692,38,59,0.4,59,final_portfolio,True,32,32
final_portfolio_a0.45_k50,0.5481818181818181,0.0815383183537854,0.4839696969696969,0.4691567742252274,0.5577371212121213,0.0696923930850823,0.4953984848484848,0.4794095106914918,0.0104785238112064,0.0085244448685844,-0.029257840610569,0.5384615384615385,0.0151300581240545,-0.0269142930609824,0.6785714285714285,0.0306661161323528,0.0143233430472178,1.0,45.07692307692308,38,50,0.45,50,final_portfolio,True,33,33
final_portfolio_a0.45_k41,0.5392537878787879,0.0647600823870379,0.4609545454545454,0.4592775902461447,0.5730257575757575,0.0819141958100462,0.4534212121212121,0.4776306258735408,0.0104561710646404,0.0085948561944599,-0.0316535981794645,0.5192307692307692,0.0148268727134384,-0.0269142930609824,0.6428571428571428,0.0321215031178774,0.0133302839083399,1.0,40.92307692307692,38,41,0.45,41,final_portfolio,True,37,34
final_portfolio_a0.45_k53,0.5442727272727272,0.0839221162887799,0.4770454545454545,0.4646464247347583,0.5514030303030304,0.0688591095871889,0.4780848484848485,0.471047270859463,0.0104618114622472,0.0085514621851727,-0.029257840610569,0.5384615384615385,0.0151258524681821,-0.0269142930609824,0.6785714285714285,0.0305569725132538,0.0143233430472178,1.0,45.46153846153846,38,53,0.45,53,final_portfolio,True,34,35
final_portfolio_a0.45_k56,0.5414696969696969,0.0925264542867788,0.4693181818181818,0.4600322030561706,0.5468905303030303,0.0750955388303531,0.4697939393939394,0.4654177756624192,0.0104332439536605,0.0086655691516743,-0.029257840610569,0.5384615384615385,0.0150943585081559,-0.0269142930609824,0.6785714285714285,0.0304243170155528,0.0143233430472178,1.0,45.61538461538461,38,56,0.45,56,final_portfolio,True,36,36
final_portfolio_a0.45_k59,0.5403333333333332,0.0929066786685999,0.4693181818181818,0.459255544254352,0.5455950757575757,0.0753524296947269,0.4697939393939394,0.4645500411214364,0.0104266106276996,0.0086537630795343,-0.029257840610569,0.5384615384615385,0.0150724329456103,-0.0269142930609824,0.6785714285714285,0.0304243170155528,0.0143233430472178,1.0,45.67307692307692,38,59,0.45,59,final_portfolio,True,38,37
final_portfolio_a0.50_k44,0.562844696969697,0.1295067602919543,0.4312727272727272,0.4607165588192894,0.5702734848484848,0.1452406107298,0.4226030303030303,0.4618044616542928,0.0104316484930536,0.0091206746503441,-0.0299923407649946,0.5192307692307692,0.0154572063908218,-0.0276284076980741,0.6428571428571428,0.0300471116056508,0.0135595456733504,1.0,43.21153846153846,38,44,0.5,44,final_portfolio,True,35,38
final_portfolio_a0.50_k56,0.5259545454545455,0.0991822666388031,0.4319848484848484,0.4399484400027863,0.5302825757575758,0.0904515882625334,0.452530303030303,0.4487710911737466,0.0102815663826596,0.0087734232223103,-0.0299923407649946,0.5384615384615385,0.0150667599014605,-0.0276284076980741,0.6428571428571428,0.0302127181710246,0.0134256208505421,1.0,45.61538461538461,38,56,0.5,56,final_portfolio,True,39,39
portfolio_55_all_union,0.5247045454545454,0.0993842350791981,0.4319848484848484,0.4391157431587468,0.529246212121212,0.0903886794512116,0.452530303030303,0.4481037456912424,0.0102753376144062,0.0087623371867716,-0.0299923407649946,0.5384615384615385,0.0150461715497457,-0.0276284076980741,0.6428571428571428,0.0302127181710246,0.0134256208505421,1.0,45.67307692307692,38,59,0.5,999,final_portfolio,False,40,40
