candidate,window_id,entry_date,start_date,end_date,trading_days,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,avg_top5_weight,n_with_notes,model0_weight,model1_weight,top_k,internal_max_weight,weighting,risk_filter_enabled,window_rank
stable_medium_capacity,w07,2026-03-11,2026-03-12,2026-03-18,5,-0.06232453119361014,-0.03652147422509888,-0.025803056968511255,30,0.039999999999999994,0.19999999999999996,0,0.175,0.825,30,0.04,rank,False,9.0
balanced_extra_wide_capacity,w08,2026-03-18,2026-03-19,2026-03-25,5,-0.053112633238284045,-0.040605931405800155,-0.01250670183248389,30,0.06451612903225806,0.3010752688172043,0,0.725,0.275,30,0.065,rank,False,9.0
balanced_medium_current,w08,2026-03-18,2026-03-19,2026-03-25,5,-0.04744171681720301,-0.040605931405800155,-0.006835785411402853,60,0.016666666666666666,0.08333333333333333,0,0.35,0.65,60,0.03,equal,False,7.0
economic_medium_capacity,w08,2026-03-18,2026-03-19,2026-03-25,5,-0.05451736240195669,-0.040605931405800155,-0.013911430996156535,30,0.05000000000000002,0.2500000000000001,0,0.575,0.42500000000000004,30,0.05,rank,False,10.0
recent_compact_capacity,w08,2026-03-18,2026-03-19,2026-03-25,5,-0.03609457790643359,-0.040605931405800155,0.004511353499366565,30,0.045,0.22499999999999998,0,0.025,0.975,30,0.045,rank,False,3.0
recent_compact_current,w08,2026-03-18,2026-03-19,2026-03-25,5,-0.005929586837390015,-0.040605931405800155,0.03467634456841014,30,0.06451612903225806,0.3010752688172043,0,0.475,0.525,30,0.065,rank,False,1.0
short_aggressive_compact_capacity,w08,2026-03-18,2026-03-19,2026-03-25,5,-0.04263096228881832,-0.040605931405800155,-0.0020250308830181626,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,5.0
short_aggressive_medium_capacity,w08,2026-03-18,2026-03-19,2026-03-25,5,-0.04263096228881832,-0.040605931405800155,-0.0020250308830181626,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,5.0
short_aggressive_wide_capacity,w08,2026-03-18,2026-03-19,2026-03-25,5,-0.04204382456539992,-0.040605931405800155,-0.0014378931595997665,30,0.055,0.275,0,0.225,0.775,30,0.055,rank,True,4.0
stable_compact_capacity,w08,2026-03-18,2026-03-19,2026-03-25,5,-0.05509226980125206,-0.040605931405800155,-0.014486338395451902,30,0.05000000000000002,0.2500000000000001,0,0.1,0.9,30,0.05,rank,True,12.0
stable_compact_current,w08,2026-03-18,2026-03-19,2026-03-25,5,-0.047862095711434995,-0.040605931405800155,-0.007256164305634839,35,0.02857142857142857,0.14285714285714285,0,0.55,0.44999999999999996,35,0.03,equal,False,8.0
stable_extra_wide_capacity,w08,2026-03-18,2026-03-19,2026-03-25,5,-0.02568637341359142,-0.040605931405800155,0.014919557992208735,30,0.06451612903225806,0.3010752688172043,0,0.525,0.475,30,0.065,rank,True,2.0
stable_medium_capacity,w08,2026-03-18,2026-03-19,2026-03-25,5,-0.05480122455194806,-0.040605931405800155,-0.014195293146147904,30,0.039999999999999994,0.19999999999999996,0,0.175,0.825,30,0.04,rank,False,11.0
balanced_extra_wide_capacity,w09,2026-03-25,2026-03-26,2026-04-01,5,0.0007460371323782547,-0.0022623272244619574,0.0030083643568402122,30,0.06451612903225806,0.3010752688172043,0,0.725,0.275,30,0.065,rank,False,2.0
balanced_medium_current,w09,2026-03-25,2026-03-26,2026-04-01,5,-0.015413264419929996,-0.0022623272244619574,-0.013150937195468039,60,0.016666666666666666,0.08333333333333333,0,0.35,0.65,60,0.03,equal,False,7.0
economic_medium_capacity,w09,2026-03-25,2026-03-26,2026-04-01,5,-0.01612819277060343,-0.0022623272244619574,-0.013865865546141474,30,0.05000000000000002,0.2500000000000001,0,0.575,0.42500000000000004,30,0.05,rank,False,9.0
recent_compact_capacity,w09,2026-03-25,2026-03-26,2026-04-01,5,0.0020095021605820895,-0.0022623272244619574,0.0042718293850440466,30,0.045,0.22499999999999998,0,0.025,0.975,30,0.045,rank,False,1.0
recent_compact_current,w09,2026-03-25,2026-03-26,2026-04-01,5,-0.01583028547956293,-0.0022623272244619574,-0.013567958255100973,30,0.06451612903225806,0.3010752688172043,0,0.475,0.525,30,0.065,rank,False,8.0
short_aggressive_compact_capacity,w09,2026-03-25,2026-03-26,2026-04-01,5,-0.01929582403544507,-0.0022623272244619574,-0.017033496810983113,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,10.0
short_aggressive_medium_capacity,w09,2026-03-25,2026-03-26,2026-04-01,5,-0.01929582403544507,-0.0022623272244619574,-0.017033496810983113,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,10.0
short_aggressive_wide_capacity,w09,2026-03-25,2026-03-26,2026-04-01,5,-0.010255563226482651,-0.0022623272244619574,-0.007993236002020693,30,0.055,0.275,0,0.225,0.775,30,0.055,rank,True,6.0
stable_compact_capacity,w09,2026-03-25,2026-03-26,2026-04-01,5,-0.003934287024377209,-0.0022623272244619574,-0.0016719597999152519,30,0.05000000000000002,0.2500000000000001,0,0.1,0.9,30,0.05,rank,True,4.0
stable_compact_current,w09,2026-03-25,2026-03-26,2026-04-01,5,-0.004131870535514596,-0.0022623272244619574,-0.001869543311052639,35,0.02857142857142857,0.14285714285714285,0,0.55,0.44999999999999996,35,0.03,equal,False,5.0
stable_extra_wide_capacity,w09,2026-03-25,2026-03-26,2026-04-01,5,-0.027789808383661956,-0.0022623272244619574,-0.025527481159199998,30,0.06451612903225806,0.3010752688172043,0,0.525,0.475,30,0.065,rank,True,12.0
stable_medium_capacity,w09,2026-03-25,2026-03-26,2026-04-01,5,-0.0005402993435473142,-0.0022623272244619574,0.0017220278809146432,30,0.039999999999999994,0.19999999999999996,0,0.175,0.825,30,0.04,rank,False,3.0
balanced_extra_wide_capacity,w10,2026-04-01,2026-04-02,2026-04-09,5,0.02831076727751151,0.019166353122001656,0.009144414155509855,30,0.06451612903225806,0.3010752688172043,0,0.725,0.275,30,0.065,rank,False,6.0
balanced_medium_current,w10,2026-04-01,2026-04-02,2026-04-09,5,0.03670670089191825,0.019166353122001656,0.017540347769916594,60,0.016666666666666666,0.08333333333333333,0,0.35,0.65,60,0.03,equal,False,3.0
economic_medium_capacity,w10,2026-04-01,2026-04-02,2026-04-09,5,0.002768948492924507,0.019166353122001656,-0.01639740462907715,30,0.05000000000000002,0.2500000000000001,0,0.575,0.42500000000000004,30,0.05,rank,False,12.0
recent_compact_capacity,w10,2026-04-01,2026-04-02,2026-04-09,5,0.025783235910862408,0.019166353122001656,0.006616882788860752,30,0.045,0.22499999999999998,0,0.025,0.975,30,0.045,rank,False,7.0
recent_compact_current,w10,2026-04-01,2026-04-02,2026-04-09,5,0.02897954220987187,0.019166353122001656,0.009813189087870215,30,0.06451612903225806,0.3010752688172043,0,0.475,0.525,30,0.065,rank,False,5.0
short_aggressive_compact_capacity,w10,2026-04-01,2026-04-02,2026-04-09,5,0.010853143792290668,0.019166353122001656,-0.008313209329710988,30,0.06451612903225806,0.3010752688172043,1,0.3,0.7,30,0.065,rank,False,8.0
short_aggressive_medium_capacity,w10,2026-04-01,2026-04-02,2026-04-09,5,0.010853143792290668,0.019166353122001656,-0.008313209329710988,30,0.06451612903225806,0.3010752688172043,1,0.3,0.7,30,0.065,rank,False,8.0
short_aggressive_wide_capacity,w10,2026-04-01,2026-04-02,2026-04-09,5,0.03987052290861516,0.019166353122001656,0.020704169786613505,30,0.055,0.275,0,0.225,0.775,30,0.055,rank,True,2.0
stable_compact_capacity,w10,2026-04-01,2026-04-02,2026-04-09,5,0.005593780702230247,0.019166353122001656,-0.01357257241977141,30,0.05000000000000002,0.2500000000000001,0,0.1,0.9,30,0.05,rank,True,11.0
stable_compact_current,w10,2026-04-01,2026-04-02,2026-04-09,5,0.04806651595885898,0.019166353122001656,0.028900162836857327,35,0.02857142857142857,0.14285714285714285,0,0.55,0.44999999999999996,35,0.03,equal,False,1.0
stable_extra_wide_capacity,w10,2026-04-01,2026-04-02,2026-04-09,5,0.03387003535601706,0.019166353122001656,0.014703682234015407,30,0.06451612903225806,0.3010752688172043,0,0.525,0.475,30,0.065,rank,True,4.0
stable_medium_capacity,w10,2026-04-01,2026-04-02,2026-04-09,5,0.00857830850178775,0.019166353122001656,-0.010588044620213906,30,0.039999999999999994,0.19999999999999996,0,0.175,0.825,30,0.04,rank,False,10.0
balanced_extra_wide_capacity,w11,2026-04-09,2026-04-10,2026-04-16,5,0.028024582841217567,0.035632621492858396,-0.007608038651640829,30,0.06451612903225806,0.3010752688172043,0,0.725,0.275,30,0.065,rank,False,12.0
balanced_medium_current,w11,2026-04-09,2026-04-10,2026-04-16,5,0.04799641953009305,0.035632621492858396,0.012363798037234655,60,0.016666666666666666,0.08333333333333333,0,0.35,0.65,60,0.03,equal,False,5.0
